,webtitle,sectionname,publisheddate,url
64,Canada designates Indian gang linked to high-profile killings as terrorist entity,World news,2025-09-29T17:38:05Z,https://www.theguardian.com/world/2025/sep/29/canada-lawrence-bishnoi-gang-terrorist-entity
65,At least 40 dead and 124 injured in crush at Vijay rally in India,World news,2025-09-28T11:18:00Z,https://www.theguardian.com/world/2025/sep/27/dead-and-injured-in-stampede-at-vijay-rally-in-india
66,"‘Huge energy challenges’: how can India make the leap to become a green, clean country?",Environment,2025-09-28T04:00:01Z,https://www.theguardian.com/environment/2025/sep/28/huge-energy-challenges-how-can-india-make-leap-green-clean-country
67,Ladakh statehood activist arrested days after violent crackdown by Modi,World news,2025-09-26T15:25:54Z,https://www.theguardian.com/world/2025/sep/26/activist-arrested-ladakh-crackdown-modi-sonam-wangchuk
68,Homebound review – emotionally rich study of friends in rural India trying to get home in the pandemic,Film,2025-09-24T10:00:24Z,https://www.theguardian.com/film/2025/sep/24/homebound-review-emotionally-rich-study-of-friends-in-rural-india-trying-to-get-home-in-the-pandemic
69,‘Afraid of our talent’: India hits back against Trump’s H-1B visa fee hike,World news,2025-09-22T09:44:21Z,https://www.theguardian.com/world/2025/sep/22/trump-india-h1-b-visa-fee-hike-response-afraid-of-talent
70,Weather tracker: Typhoon Matmo batters southern China,Environment,2025-10-06T06:42:06Z,https://www.theguardian.com/environment/2025/oct/06/weather-tracker-typhoon-matmo-batters-southern-china
71,Adrian Mayer obituary,Science,2025-10-05T16:06:28Z,https://www.theguardian.com/science/2025/oct/05/adrian-mayer-obituary
72,Arbitrary detention victims urge Starmer to press Modi on jailed British Sikh,Politics,2025-10-01T15:47:31Z,https://www.theguardian.com/politics/2025/oct/01/keir-starmer-narendra-modi-india-jagtar-singh-johal-release
73,"‘I don’t worry about traditionalists’: Rishab Sharma, the sitar maestro earning millions of followers for his mindful music",Music,2025-09-30T13:53:14Z,https://www.theguardian.com/music/2025/sep/30/rishab-sharma-sitar-for-mental-health-ravi-shankar
74,Canada designates Indian gang linked to high-profile killings as terrorist entity,World news,2025-09-29T17:38:05Z,https://www.theguardian.com/world/2025/sep/29/canada-lawrence-bishnoi-gang-terrorist-entity
75,At least 40 dead and 124 injured in crush at Vijay rally in India,World news,2025-09-28T11:18:00Z,https://www.theguardian.com/world/2025/sep/27/dead-and-injured-in-stampede-at-vijay-rally-in-india
76,"‘Huge energy challenges’: how can India make the leap to become a green, clean country?",Environment,2025-09-28T04:00:01Z,https://www.theguardian.com/environment/2025/sep/28/huge-energy-challenges-how-can-india-make-leap-green-clean-country
77,Ladakh statehood activist arrested days after violent crackdown by Modi,World news,2025-09-26T15:25:54Z,https://www.theguardian.com/world/2025/sep/26/activist-arrested-ladakh-crackdown-modi-sonam-wangchuk
78,Homebound review – emotionally rich study of friends in rural India trying to get home in the pandemic,Film,2025-09-24T10:00:24Z,https://www.theguardian.com/film/2025/sep/24/homebound-review-emotionally-rich-study-of-friends-in-rural-india-trying-to-get-home-in-the-pandemic
79,‘Afraid of our talent’: India hits back against Trump’s H-1B visa fee hike,World news,2025-09-22T09:44:21Z,https://www.theguardian.com/world/2025/sep/22/trump-india-h1-b-visa-fee-hike-response-afraid-of-talent
80,Weather tracker: Typhoon Matmo batters southern China,Environment,2025-10-06T06:42:06Z,https://www.theguardian.com/environment/2025/oct/06/weather-tracker-typhoon-matmo-batters-southern-china
81,Adrian Mayer obituary,Science,2025-10-05T16:06:28Z,https://www.theguardian.com/science/2025/oct/05/adrian-mayer-obituary
82,Arbitrary detention victims urge Starmer to press Modi on jailed British Sikh,Politics,2025-10-01T15:47:31Z,https://www.theguardian.com/politics/2025/oct/01/keir-starmer-narendra-modi-india-jagtar-singh-johal-release
83,"‘I don’t worry about traditionalists’: Rishab Sharma, the sitar maestro earning millions of followers for his mindful music",Music,2025-09-30T13:53:14Z,https://www.theguardian.com/music/2025/sep/30/rishab-sharma-sitar-for-mental-health-ravi-shankar
84,Canada designates Indian gang linked to high-profile killings as terrorist entity,World news,2025-09-29T17:38:05Z,https://www.theguardian.com/world/2025/sep/29/canada-lawrence-bishnoi-gang-terrorist-entity
85,At least 40 dead and 124 injured in crush at Vijay rally in India,World news,2025-09-28T11:18:00Z,https://www.theguardian.com/world/2025/sep/27/dead-and-injured-in-stampede-at-vijay-rally-in-india
86,"‘Huge energy challenges’: how can India make the leap to become a green, clean country?",Environment,2025-09-28T04:00:01Z,https://www.theguardian.com/environment/2025/sep/28/huge-energy-challenges-how-can-india-make-leap-green-clean-country
87,Ladakh statehood activist arrested days after violent crackdown by Modi,World news,2025-09-26T15:25:54Z,https://www.theguardian.com/world/2025/sep/26/activist-arrested-ladakh-crackdown-modi-sonam-wangchuk
88,Homebound review – emotionally rich study of friends in rural India trying to get home in the pandemic,Film,2025-09-24T10:00:24Z,https://www.theguardian.com/film/2025/sep/24/homebound-review-emotionally-rich-study-of-friends-in-rural-india-trying-to-get-home-in-the-pandemic
89,‘Afraid of our talent’: India hits back against Trump’s H-1B visa fee hike,World news,2025-09-22T09:44:21Z,https://www.theguardian.com/world/2025/sep/22/trump-india-h1-b-visa-fee-hike-response-afraid-of-talent
90,Weather tracker: Typhoon Matmo batters southern China,Environment,2025-10-06T06:42:06Z,https://www.theguardian.com/environment/2025/oct/06/weather-tracker-typhoon-matmo-batters-southern-china
91,Adrian Mayer obituary,Science,2025-10-05T16:06:28Z,https://www.theguardian.com/science/2025/oct/05/adrian-mayer-obituary
92,Arbitrary detention victims urge Starmer to press Modi on jailed British Sikh,Politics,2025-10-01T15:47:31Z,https://www.theguardian.com/politics/2025/oct/01/keir-starmer-narendra-modi-india-jagtar-singh-johal-release
93,"‘I don’t worry about traditionalists’: Rishab Sharma, the sitar maestro earning millions of followers for his mindful music",Music,2025-09-30T13:53:14Z,https://www.theguardian.com/music/2025/sep/30/rishab-sharma-sitar-for-mental-health-ravi-shankar
94,Canada designates Indian gang linked to high-profile killings as terrorist entity,World news,2025-09-29T17:38:05Z,https://www.theguardian.com/world/2025/sep/29/canada-lawrence-bishnoi-gang-terrorist-entity
95,At least 40 dead and 124 injured in crush at Vijay rally in India,World news,2025-09-28T11:18:00Z,https://www.theguardian.com/world/2025/sep/27/dead-and-injured-in-stampede-at-vijay-rally-in-india
96,"‘Huge energy challenges’: how can India make the leap to become a green, clean country?",Environment,2025-09-28T04:00:01Z,https://www.theguardian.com/environment/2025/sep/28/huge-energy-challenges-how-can-india-make-leap-green-clean-country
97,Ladakh statehood activist arrested days after violent crackdown by Modi,World news,2025-09-26T15:25:54Z,https://www.theguardian.com/world/2025/sep/26/activist-arrested-ladakh-crackdown-modi-sonam-wangchuk
98,Homebound review – emotionally rich study of friends in rural India trying to get home in the pandemic,Film,2025-09-24T10:00:24Z,https://www.theguardian.com/film/2025/sep/24/homebound-review-emotionally-rich-study-of-friends-in-rural-india-trying-to-get-home-in-the-pandemic
99,‘Afraid of our talent’: India hits back against Trump’s H-1B visa fee hike,World news,2025-09-22T09:44:21Z,https://www.theguardian.com/world/2025/sep/22/trump-india-h1-b-visa-fee-hike-response-afraid-of-talent
